ts,val,status,severity
'2022-11-25 23:28:26.205484020',-1.461363228,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:26.106109687',-1.475359471,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:26.006480353',-1.473749269,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.906578353',-1.462541332,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.806583687',-1.462769681,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.705637020',-1.458976766,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.606662353',-1.473160896,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.506832686',-1.473227483,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.408969020',-1.477478085,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.306935686',-1.458288327,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.206685020',-1.462534207,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.107289686',-1.471731823,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.014357020',-1.476547726,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.906925686',-1.474553720,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.807723020',-1.464496998,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.707689020',-1.457328732,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.608040686',-1.466963818,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.507998020',-1.468868108,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.408087686',-1.474321950,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.306923353',-1.454741856,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.208325353',-1.457768803,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.107068686',-1.459486054,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.008374686',-1.449277297,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.908416020',-1.472417265,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.808586020',-1.466035466,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.711418353',-1.462365179,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.607518020',-1.456281512,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.507863686',-1.459180204,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.409128353',-1.455402896,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.308617020',-1.467938851,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.207709020',-1.461530757,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.107815353',-1.463918153,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.008770686',-1.471867684,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.909038353',-1.463578401,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.809153353',-1.466439968,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.709212019',-1.459039762,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.608925353',-1.468457357,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.509488686',-1.459203050,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.411309019',-1.452570622,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.308387019',-1.464808616,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.210057686',-1.465293927,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.110099353',-1.472322572,'NO_ALARM','NO_ALARM'
